Tanggal,qty,Jumlah
2016-12-26,9399.28,60625355
2016-12-27,8750.3,56439435
2016-12-28,8200.21,52891354
2016-12-29,7952.06,51290851
2016-12-30,8305.69,53571700
2016-12-31,11832.13,76316916
2017-01-01,8742.65,56390092
2017-01-02,7723.71,49817929
2017-01-03,9302.26,59995707
2017-01-04,5350.08,34559552
2017-01-05,7622.18,49163060
2017-01-06,7888.82,50882887
2017-01-07,8350.13,53858338
2017-01-08,8726.09,56283281
2017-01-09,7971.44,51415787
2017-01-10,8701.43,56124223
2017-01-11,7962.5,51358125
2017-01-12,7361.11,47479159
2017-01-13,7120.9,45929805
2017-01-14,8448.22,54491019
2017-01-15,8057.08,51961716
2017-01-16,7544.16,48659638
2017-01-17,7889.14,50884953
2017-01-18,7034.59,45373105
2017-01-19,8243.34,53169542
2017-01-20,7633.98,49239170
2017-01-21,7442581,48004318
2017-01-22,7537.14,48614553
2017-01-23,6506.75,41968537
2017-01-24,7085.26,45699992
2017-01-25,6602.22,42584319
2017-01-26,7406.12,47769474
2017-01-27,7791.82,50257238
2017-01-28,8601.08,55476966
2017-01-29,8801.01,56766214
2017-01-30,7971.61,51416884
2017-01-31,4421.14,28516353
2017-02-01,7090.73,45735208
2017-02-02,7925.87,51121862
2017-02-03,9533.1,61488495
2017-02-04,9334.58,60208040
2017-02-05,7580.19,48892225
2017-02-06,8556.36,55188521
2017-02-07,5270.72,33996144
2017-02-08,7626.07,49188151
2017-02-09,8433.55,54396397
2017-02-10,8258.72,53268744
2017-02-11,8150,52567500
2017-02-12,8700.18,56000062
2017-02-13,10697.27,68997392
2017-02-14,9835.58,63265541
2017-02-15,6970.9,44962305
2017-02-16,3431.97,22136207
2017-02-17,2909.74,18767823
2017-02-18,7888.74,50882373
2017-02-19,8302.88,53553575
2017-02-20,7828.22,50492019
2017-02-21,8296.1,53509845
2017-02-22,7636.85,49257682
2017-02-23,7205.08,46472766
2017-02-24,7791.46,50254918
2017-02-25,9127.64,58873279
2017-02-26,8173.51,52719139
2017-02-27,7747.77,49973116
2017-02-28,7242.19,46712126
2017-03-01,8592.85,55423882
2017-03-02,7457.87,48103261
2017-03-03,7791.22,50253368
2017-03-04,9094.29,58658170
2017-03-05,8792.53,56711818
2017-03-06,9788.61,63136535
2017-03-07,633.67,4087172
2017-03-08,7176.67,46289521
2017-03-09,8472.75,54642787
2017-03-10,6813.6,43947719
2017-03-11,9061.48,58446546
2017-03-12,7587.1,48936796
2017-03-13,9125.7,58860727
2017-03-14,10482.95,67608578
2017-03-15,6093.34,39302043
2017-03-16,8125.37,52408636
2017-03-17,8613.06,55554237
2017-03-18,9492.47,61226432
2017-03-19,9928.73,64040309
2017-03-20,11580.16,74692032
2017-03-21,9752.73,62905109
2017-03-22,8529.54,55015534
2017-03-23,8357.43,53905424
2017-03-24,9423.03,60778544
2017-03-25,10034.57,64722977
2017-03-26,10119.62,65271549
2017-03-27,9426.06,60798087
2017-03-28,7943.14,51233254
2017-03-29,8881.08,57282966
2017-03-30,9287.42,59903860
2017-03-31,9812.74,63292174
2017-04-01,10128.64,65329728
2017-04-02,10063.79,64911446
2017-04-03,11560.13,74562839
2017-04-04,9881.16,63733482
2017-04-05,10445.09,67370831
2017-04-06,9938.64,64104229
2017-04-07,11099.73,71593259
2017-04-08,11419.01,73652615
2017-04-09,11036.01,71182265
2017-04-10,11832.95,76322528
2017-04-11,9205.85,59377732
2017-04-12,8983.27,57942092
2017-04-13,10127.69,65323275
2017-04-14,10148.5,65457826
2017-04-15,10212.7,65871916
2017-04-16,11490.6,74114371
2017-04-17,10054.23,64849784
2017-04-18,10306.23,66475184
2017-04-19,9772.52,63032755
2017-04-20,9651.17,62250047
2017-04-21,10137.99,65390036
2017-04-22,11126.68,71767086
2017-04-23,10298.98,66428422
2017-04-24,11072.31,71416400
2017-04-25,0,0
2017-04-26,6509,41983050
2017-04-27,9553,61616850
2017-04-28,10654,68718300
2017-04-29,10982,70833900
2017-04-30,10179,65654550
2017-05-01,11187,72156150
2017-05-02,10908,70356600
2017-05-03,802,5172900
2017-05-04,7880,50826000
2017-05-05,0,0
2017-05-06,5231,33739950
2017-05-07,11939,77006550
2017-05-08,6805,43892250
2017-05-09,7832,50516400
2017-05-10,31,200000
2017-05-11,6187,39906150
2017-05-12,2052,13235400
2017-05-13,7660,49407000
2017-05-14,0,0
2017-05-15,0,0
2017-05-16,0,0
2017-05-17,7102,45807900
2017-05-18,7960,51342000
2017-05-19,46.51,299989
2017-05-20,0,0
2017-05-21,0,0
2017-05-22,0,0
2017-05-23,7844,50593800
2017-05-24,0,0
2017-05-25,10,64500
2017-05-26,0,0
2017-05-27,5306,34223700
2017-05-28,2764,17827800
2017-05-29,0,0
2017-05-30,0,0
2017-05-31,0,0
2017-06-01,7772,50129400
2017-06-02,0,0
2017-06-03,21,135450
2017-06-04,0,0
2017-06-05,7451,48058950
2017-06-06,478,3083100
2017-06-07,9833,63422850
2017-06-08,5845,37700250
2017-06-09,2590,16705500
2017-06-10,8321,53670450
2017-06-11,11725,75626250
2017-06-12,9330,60178500
2017-06-13,4819,31082550
2017-06-14,10816,69763200
2017-06-15,5367,34617150
2017-06-16,10985,70853250
2017-06-17,12545,80915250
2017-06-18,12743,82192350
2017-06-19,5863,37813360
2017-06-20,10101,65151450
2017-06-21,13630,87913500
2017-06-22,15008,96801600
